Year,Month,Product Name,Supplier,Stock Level,Order Quantity,Demand Level
2024,December,Card,Synergy,211,476,Very High
2023,May,Card,Fibertech Inc,469,272,Low
2023,May,Combiner,Fibertech Inc,302,104,Very Low
2023,August,Router,Netgear,287,124,Very Low
2023,November,Optical,Cisco,298,410,Very High
2023,July,Optical,HP,187,343,Very High
2023,July,Combiner,Netgear,266,407,Very High
2023,July,Combiner,Synergy,313,345,High
2023,August,Modem,Broadcam,368,318,Medium
2024,November,Modem,Netgear,164,420,Very High
2024,June,Card,Cardcom,334,203,Low
2023,March,Modem,Optifibre Co,298,288,Medium
2024,September,Card,Cardcom,418,436,High
2023,April,Switch,Synergy,101,465,Very High
2024,June,Optical,Cisco,259,100,Very Low
2023,November,Card,Synergy,423,410,Medium
2024,June,Networking,Netgear,371,456,High
2023,November,Combiner,Bell,482,478,Medium
2023,September,Modem,Broadcam,259,422,Very High
2024,June,Networking,Synergy,443,101,Very Low
2024,December,Splitter,Cardcom,432,334,Medium
2023,July,Card,Cardcom,237,278,High
2023,June,Optical,Optifibre Co,353,282,Medium
2023,September,Multiplexer,Netgear,108,329,Very High
2024,November,Combiner,Cardcom,158,285,Very High
2024,May,Card,Cardcom,105,401,Very High
2024,December,Router,Bell,419,305,Low
2024,July,Multiplexer,Cisco,192,427,Very High
2024,September,Router,Netgear,353,276,Medium
2024,May,Multiplexer,Broadcam,319,114,Very Low
2024,March,Optical,Netgear,397,234,Low
2023,June,Multiplexer,HP,240,452,Very High
2024,December,Optical,Netgear,398,213,Low
2023,December,Card,Fibertech Inc,350,432,High
2023,March,Card,Synergy,199,336,Very High
2023,November,Router,Fibertech Inc,485,265,Low
2023,May,Card,Cardcom,480,429,Medium
2024,February,Networking,Optifibre Co,447,282,Low
2023,April,Networking,Cardcom,282,126,Very Low
2023,August,Combiner,HP,298,385,Very High
2024,January,Networking,Optifibre Co,450,317,Low
2024,August,Router,Optifibre Co,327,371,High
2023,March,Splitter,Fibertech Inc,115,272,Very High
2024,March,Optical,Bell,109,446,Very High
2024,December,Router,Optifibre Co,172,425,Very High
2024,October,Combiner,Netgear,341,247,Low
2023,June,Router,Netgear,351,451,Very High
2024,January,Networking,Cardcom,425,498,High
2024,May,Networking,Synergy,245,303,High
2023,September,Card,Fibertech Inc,418,436,High
2024,May,Optical,Netgear,193,210,High
2024,June,Splitter,Bell,328,339,High
2024,March,Optical,Bell,358,264,Low
2024,February,Modem,HP,367,132,Very Low
2024,December,Card,Fibertech Inc,245,372,Very High
2024,December,Switch,Optifibre Co,416,469,High
2024,November,Splitter,Bell,346,432,High
2024,June,Optical,Cardcom,337,360,High
2023,September,Optical,Netgear,138,449,Very High
2024,April,Card,Netgear,488,430,Medium
2023,October,Optical,HP,282,278,Medium
2023,January,Card,Optifibre Co,429,457,High
2023,April,Splitter,Optifibre Co,438,347,Medium
2023,November,Networking,HP,194,468,Very High
2023,October,Modem,Bell,247,344,Very High
2023,October,Combiner,Cardcom,385,487,Very High
2024,May,Card,Netgear,113,413,Very High
2024,May,Modem,Broadcam,291,377,Very High
2024,November,Networking,Synergy,295,109,Very Low
2024,November,Modem,Netgear,280,399,Very High
2023,May,Card,Optifibre Co,192,376,Very High
2024,May,Multiplexer,Fibertech Inc,210,340,Very High
2023,December,Optical,Bell,201,281,Very High
2023,February,Card,Fibertech Inc,178,461,Very High
2023,July,Card,Synergy,122,114,Medium
2024,July,Router,Optifibre Co,440,249,Low
2023,September,Modem,HP,234,180,Medium
2024,January,Router,HP,150,475,Very High
2024,August,Router,Fibertech Inc,176,403,Very High
2024,January,Router,Broadcam,124,264,Very High
2023,November,Modem,Broadcam,457,213,Very Low
2023,June,Combiner,Optifibre Co,375,383,High
2023,May,Switch,Bell,212,412,Very High
2024,March,Card,HP,379,392,High
2023,December,Switch,Cardcom,443,296,Low
2023,March,Splitter,Broadcam,464,250,Low
2023,April,Combiner,HP,145,479,Very High
2023,December,Switch,Fibertech Inc,265,494,Very High
2023,June,Networking,Fibertech Inc,138,236,Very High
2024,July,Switch,Cisco,240,455,Very High
2023,November,Splitter,Synergy,354,316,Medium
2024,December,Switch,Fibertech Inc,248,448,Very High
2023,September,Optical,Fibertech Inc,133,262,Very High
2024,January,Card,Broadcam,477,205,Very Low
2024,April,Multiplexer,Broadcam,484,230,Very Low
2024,April,Switch,Synergy,231,140,Low
2023,November,Combiner,Netgear,421,282,Low
2024,May,Splitter,Broadcam,457,489,High
2023,April,Networking,Optifibre Co,476,447,Medium
2024,January,Splitter,Cisco,325,166,Low
2024,October,Optical,Optifibre Co,351,243,Low
2024,November,Card,Netgear,437,203,Very Low
2024,April,Modem,HP,103,252,Very High
2023,April,Combiner,Cisco,376,230,Low
2024,February,Combiner,Fibertech Inc,388,500,Very High
2024,July,Multiplexer,HP,330,367,High
2024,February,Switch,Netgear,379,295,Medium
2023,June,Networking,Synergy,179,295,Very High
2024,March,Splitter,Synergy,446,495,High
2024,August,Modem,Bell,165,142,Medium
2024,September,Multiplexer,Optifibre Co,427,124,Very Low
2024,October,Router,Broadcam,451,102,Very Low
2023,June,Router,Optifibre Co,260,302,High
2024,July,Card,Cisco,153,478,Very High
2024,September,Card,Optifibre Co,361,433,High
2023,November,Combiner,Cisco,495,498,High
2024,June,Combiner,Synergy,445,313,Low
2023,June,Router,Broadcam,395,199,Low
2023,October,Router,Bell,124,181,Very High
2023,February,Card,Cisco,462,459,Medium
2023,August,Networking,Bell,487,355,Low
2023,September,Modem,Bell,136,284,Very High
2024,October,Splitter,Netgear,231,104,Very Low
2024,June,Router,Fibertech Inc,261,109,Very Low
2024,November,Router,Bell,215,497,Very High
2024,August,Card,Optifibre Co,487,443,Medium
2023,October,Switch,Broadcam,352,464,Very High
2024,October,Multiplexer,Broadcam,178,108,Low
2023,April,Router,Bell,330,148,Very Low
2024,May,Modem,Netgear,166,291,Very High
2023,November,Multiplexer,Cisco,159,278,Very High
2023,July,Networking,Cisco,219,293,Very High
2024,November,Switch,Cardcom,174,155,Medium
2024,February,Modem,Optifibre Co,404,163,Very Low
2023,April,Switch,HP,371,216,Low
2024,September,Optical,Synergy,381,444,High
2023,June,Card,Optifibre Co,271,382,Very High
2024,March,Splitter,Synergy,280,209,Low
2024,April,Networking,Bell,296,453,Very High
2023,January,Modem,Bell,264,404,Very High
2024,July,Combiner,HP,363,151,Very Low
2024,January,Router,Broadcam,464,210,Very Low
2024,July,Splitter,Optifibre Co,383,432,High
2024,June,Combiner,Cisco,164,140,Medium
2024,January,Card,Cardcom,388,125,Very Low
2024,August,Networking,Cisco,147,343,Very High
2023,November,Card,Cisco,476,282,Low
2024,September,Splitter,HP,225,284,Very High
2024,January,Splitter,Cardcom,185,359,Very High
2024,December,Card,Broadcam,143,381,Very High
2023,September,Combiner,Broadcam,251,126,Low
2023,April,Switch,Cisco,315,170,Low
2024,July,Router,Netgear,283,233,Medium
2023,October,Optical,Netgear,276,154,Low
2024,September,Switch,Bell,397,454,High
2023,September,Router,Bell,263,195,Low
2023,March,Switch,Synergy,171,455,Very High
2024,March,Networking,Cisco,152,251,Very High
2023,April,Optical,Synergy,175,169,Medium
2023,May,Combiner,Cisco,345,193,Low
2023,May,Switch,HP,443,203,Very Low
2023,March,Combiner,Optifibre Co,224,249,High
2024,July,Multiplexer,Netgear,385,421,High
2023,December,Switch,Netgear,170,181,High
2024,February,Modem,Cardcom,197,461,Very High
2024,February,Combiner,Synergy,230,329,Very High
2024,March,Card,Synergy,319,305,Medium
2024,April,Optical,Netgear,291,455,Very High
2024,June,Card,Cardcom,118,254,Very High
2024,May,Optical,Optifibre Co,397,378,Medium
2023,January,Combiner,Synergy,498,126,Very Low
2024,June,Router,Synergy,185,290,Very High
2024,February,Multiplexer,Synergy,185,238,Very High
2024,November,Multiplexer,Broadcam,339,383,High
2023,July,Networking,Fibertech Inc,110,186,Very High
2024,October,Optical,Optifibre Co,206,135,Low
2024,April,Router,Cardcom,228,496,Very High
2023,May,Networking,Fibertech Inc,130,473,Very High
2023,September,Card,Broadcam,148,342,Very High
2023,August,Splitter,Fibertech Inc,132,113,Medium
2023,May,Router,Cardcom,240,432,Very High
2023,July,Switch,Bell,389,445,High
2023,August,Combiner,Fibertech Inc,285,294,High
2023,May,Router,HP,217,315,Very High
2023,July,Networking,Broadcam,486,380,Medium
2024,August,Card,Netgear,282,209,Low
2023,January,Combiner,Bell,470,442,Medium
2023,January,Router,Synergy,158,320,Very High
2024,December,Networking,Bell,481,287,Low
2023,November,Switch,Bell,322,278,Medium
2024,June,Networking,Cisco,300,247,Medium
2023,May,Optical,Netgear,100,462,Very High
2023,July,Card,Cardcom,328,472,Very High
2023,July,Splitter,Fibertech Inc,188,414,Very High
2024,August,Networking,Bell,274,396,Very High
2023,June,Switch,HP,162,436,Very High
2023,December,Router,Synergy,180,477,Very High
2024,July,Switch,Broadcam,381,119,Very Low
2024,July,Splitter,Optifibre Co,223,198,Medium
2023,August,Router,Netgear,343,368,High
2024,October,Splitter,Cardcom,141,317,Very High
2024,April,Modem,Netgear,250,432,Very High
2023,February,Router,Bell,175,371,Very High
2023,June,Splitter,Optifibre Co,441,178,Very Low
2024,July,Switch,Cardcom,438,392,Medium
2024,November,Switch,Cardcom,361,304,Medium
2024,June,Splitter,Netgear,461,352,Medium
2024,March,Switch,Synergy,307,473,Very High
2023,February,Optical,Netgear,388,381,Medium
2024,May,Combiner,Cardcom,368,380,High
2024,August,Switch,Optifibre Co,184,409,Very High
2024,August,Optical,Cardcom,332,435,Very High
2024,September,Combiner,Netgear,306,262,Medium
2023,February,Multiplexer,Cardcom,486,248,Low
2024,October,Splitter,HP,391,383,Medium
2023,September,Router,Broadcam,294,287,Medium
2024,April,Card,Broadcam,146,408,Very High
2023,May,Card,Optifibre Co,452,426,Medium
2023,March,Optical,Optifibre Co,498,209,Very Low
2023,November,Modem,Netgear,433,108,Very Low
2024,September,Switch,Cardcom,429,242,Low
2023,January,Multiplexer,Broadcam,213,194,Medium
2024,November,Modem,Broadcam,194,403,Very High
2023,April,Multiplexer,Cisco,352,122,Very Low
2024,January,Card,Cisco,362,300,Medium
2023,January,Optical,Fibertech Inc,169,444,Very High
2024,November,Splitter,HP,299,435,Very High
2023,September,Multiplexer,Cardcom,129,308,Very High
2024,October,Card,Cisco,397,450,High
2023,October,Networking,HP,398,160,Very Low
2023,June,Splitter,Cisco,398,230,Low
2023,February,Modem,Broadcam,496,118,Very Low
2023,November,Combiner,Bell,106,271,Very High
2023,October,Router,Optifibre Co,133,203,Very High
2024,June,Combiner,Bell,442,311,Low
2024,May,Combiner,Cardcom,141,308,Very High
2024,November,Splitter,Bell,207,130,Low
2024,April,Combiner,Optifibre Co,121,348,Very High
2023,April,Optical,Cisco,247,454,Very High
2023,December,Modem,Synergy,396,144,Very Low
2023,October,Modem,Optifibre Co,311,470,Very High
2023,May,Modem,Optifibre Co,162,453,Very High
2023,February,Switch,Fibertech Inc,288,143,Very Low
2024,August,Switch,Bell,492,138,Very Low
2024,November,Switch,Broadcam,276,249,Medium
2023,January,Multiplexer,Optifibre Co,423,214,Low
2023,February,Splitter,Fibertech Inc,253,254,High
2024,February,Networking,Fibertech Inc,175,253,Very High
2024,March,Switch,Fibertech Inc,399,392,Medium
2024,July,Router,Optifibre Co,474,172,Very Low
2023,October,Switch,Bell,491,347,Low
2023,August,Splitter,Synergy,251,349,Very High
2024,October,Networking,Synergy,424,202,Very Low
2024,June,Card,HP,121,226,Very High
2024,August,Networking,Fibertech Inc,185,112,Low
2023,March,Card,Optifibre Co,387,158,Very Low
2024,February,Networking,Bell,189,395,Very High
2024,June,Networking,HP,412,168,Very Low
2023,August,Card,Synergy,241,422,Very High
2024,May,Networking,Netgear,444,117,Very Low
2023,November,Multiplexer,Bell,362,381,High
2024,April,Combiner,Fibertech Inc,104,242,Very High
2024,December,Multiplexer,HP,196,381,Very High
2024,March,Switch,Synergy,151,290,Very High
2023,September,Combiner,Cardcom,383,467,High
2023,January,Combiner,Fibertech Inc,236,188,Medium
2024,December,Switch,Netgear,327,348,High
2023,May,Modem,Bell,332,185,Low
2023,February,Splitter,Broadcam,284,140,Very Low
2023,February,Splitter,Synergy,381,306,Medium
2024,October,Optical,Synergy,338,301,Medium
2024,December,Card,Synergy,173,161,Medium
2024,September,Optical,Fibertech Inc,393,116,Very Low
2023,March,Modem,Cardcom,230,207,Medium
2023,June,Switch,Synergy,498,478,Medium
2023,December,Combiner,Bell,231,164,Low
2023,May,Combiner,Bell,421,265,Low
2023,April,Multiplexer,Netgear,407,200,Very Low
2023,February,Modem,Optifibre Co,240,111,Very Low
2024,June,Combiner,Fibertech Inc,364,487,Very High
2024,November,Networking,Cardcom,219,388,Very High
2024,August,Optical,Cardcom,494,326,Low
2024,May,Splitter,Fibertech Inc,231,477,Very High
2024,August,Modem,HP,426,398,Medium
2023,June,Optical,Synergy,294,309,High
2023,December,Optical,Synergy,305,162,Low
2024,June,Combiner,Bell,270,320,High
2024,February,Modem,Netgear,239,165,Low
2023,February,Switch,Cisco,434,118,Very Low
2024,April,Optical,Broadcam,459,229,Very Low
2023,January,Router,Fibertech Inc,222,480,Very High
2023,November,Splitter,Netgear,189,359,Very High
2024,March,Card,Cardcom,431,455,High
2024,June,Multiplexer,Cardcom,113,356,Very High
2023,November,Splitter,Cardcom,198,145,Low
2023,November,Multiplexer,HP,355,361,High
2024,January,Switch,Synergy,485,354,Low
2023,February,Multiplexer,Synergy,414,209,Low
2023,March,Multiplexer,Bell,470,369,Medium
2023,January,Card,Netgear,395,321,Medium
2024,April,Splitter,Optifibre Co,157,494,Very High
2024,December,Card,Broadcam,426,228,Low
2024,March,Combiner,Optifibre Co,270,234,Medium
2024,December,Combiner,Synergy,454,220,Very Low
2023,January,Networking,Netgear,499,352,Low
2024,November,Card,Bell,215,410,Very High
2023,October,Optical,Fibertech Inc,422,231,Low
2024,April,Optical,Fibertech Inc,480,302,Low
2024,November,Modem,Cardcom,393,264,Low
2023,March,Multiplexer,Broadcam,201,159,Medium
2024,October,Router,Cisco,139,348,Very High
2024,January,Networking,Bell,491,161,Very Low
2024,June,Modem,Broadcam,351,395,High
2024,June,Card,Cardcom,426,358,Medium
2023,April,Card,Fibertech Inc,256,126,Very Low
2023,March,Networking,Netgear,284,299,High
2024,August,Networking,Netgear,302,215,Low
2023,January,Modem,Bell,367,211,Low
2024,July,Card,Fibertech Inc,166,420,Very High
2023,August,Modem,Cisco,121,326,Very High
2024,April,Card,Broadcam,290,386,Very High
2023,March,Networking,Broadcam,279,419,Very High
2023,March,Optical,Optifibre Co,427,154,Very Low
2024,April,Switch,Optifibre Co,193,124,Low
2023,June,Modem,Netgear,301,365,High
2023,July,Switch,Netgear,237,440,Very High
2024,March,Networking,Cardcom,207,302,Very High
2024,December,Combiner,Optifibre Co,492,310,Low
2024,December,Networking,Bell,261,375,Very High
2023,September,Networking,Optifibre Co,188,462,Very High
2023,April,Card,HP,434,121,Very Low
2024,October,Modem,Optifibre Co,472,482,High
2023,January,Optical,HP,237,244,High
2023,August,Multiplexer,HP,488,396,Medium
2023,September,Multiplexer,Broadcam,354,422,High
2023,June,Optical,Synergy,448,419,Medium
2024,May,Switch,Synergy,411,461,High
2024,November,Switch,HP,254,357,Very High
2024,September,Networking,HP,143,110,Medium
2024,September,Modem,Netgear,268,233,Medium
2023,March,Combiner,Cardcom,248,456,Very High
2024,February,Switch,Synergy,164,492,Very High
2023,July,Combiner,Cisco,380,336,Medium
2024,February,Multiplexer,Cardcom,263,342,Very High
2024,August,Combiner,Bell,326,280,Medium
2023,October,Modem,HP,392,140,Very Low
2024,April,Networking,Synergy,126,124,Medium
2024,November,Optical,Cardcom,260,492,Very High
2024,March,Combiner,Broadcam,175,172,Medium
2024,January,Optical,Netgear,145,183,Very High
2024,October,Card,Cardcom,478,497,High
2023,March,Switch,HP,464,277,Low
2023,December,Multiplexer,Bell,172,293,Very High
2024,September,Switch,Synergy,431,111,Very Low
2024,July,Modem,Bell,169,362,Very High
2023,April,Optical,Bell,414,464,High
2023,March,Card,Cardcom,413,186,Very Low
2024,February,Splitter,Netgear,228,179,Medium
2023,August,Multiplexer,HP,254,188,Low
2024,April,Card,Synergy,132,351,Very High
2024,November,Networking,Cisco,276,394,Very High
2024,January,Card,Broadcam,174,259,Very High
2024,January,Multiplexer,Synergy,398,140,Very Low
2024,October,Switch,Cisco,194,483,Very High
2023,June,Multiplexer,Bell,426,221,Low
2024,July,Optical,Bell,138,132,Medium
2024,June,Modem,Cardcom,286,337,High
2023,September,Router,HP,282,315,High
2023,October,Splitter,Fibertech Inc,153,470,Very High
2024,August,Networking,Optifibre Co,404,426,High
2023,August,Splitter,Cisco,477,472,Medium
2023,May,Multiplexer,Optifibre Co,181,472,Very High
2023,July,Modem,Optifibre Co,463,408,Medium
2024,September,Combiner,Cardcom,144,151,High
2023,May,Networking,Optifibre Co,321,391,High
2024,May,Combiner,HP,224,444,Very High
2023,June,Multiplexer,Broadcam,114,161,Very High
2024,October,Networking,Synergy,259,216,Medium
2024,November,Combiner,Bell,485,147,Very Low
2023,August,Switch,Broadcam,490,288,Low
2023,July,Optical,Cardcom,283,423,Very High
2024,January,Router,HP,303,260,Medium
2024,February,Splitter,Fibertech Inc,146,437,Very High
2023,July,Switch,Cisco,443,181,Very Low
2024,March,Switch,Cardcom,360,463,Very High
2023,July,Splitter,Netgear,372,353,Medium
2024,November,Multiplexer,HP,467,483,High
2024,November,Combiner,Netgear,316,187,Low
2024,July,Switch,HP,417,221,Low
2024,August,Splitter,Cisco,357,186,Low
2024,March,Modem,Cardcom,386,357,Medium
2023,April,Switch,HP,380,494,Very High
2023,July,Router,Bell,426,405,Medium
2024,July,Optical,Optifibre Co,437,437,High
2023,May,Modem,HP,346,152,Very Low
2023,April,Splitter,Cardcom,134,376,Very High
2024,January,Modem,HP,221,356,Very High
2024,February,Router,Bell,411,124,Very Low
2024,February,Optical,Cardcom,325,330,High
2023,March,Card,Netgear,208,219,High
2024,March,Optical,Cardcom,214,261,High
2023,May,Router,Netgear,489,322,Low
2024,January,Router,Fibertech Inc,383,135,Very Low
2023,November,Modem,Netgear,295,140,Very Low
2024,April,Optical,HP,427,407,Medium
2024,June,Optical,Broadcam,357,368,High
2023,September,Modem,Fibertech Inc,388,439,High
2023,September,Router,Cisco,452,190,Very Low
2024,December,Combiner,Bell,145,353,Very High
2023,August,Multiplexer,Bell,271,490,Very High
2024,July,Switch,Netgear,144,344,Very High
2024,March,Router,Bell,487,139,Very Low
2024,June,Switch,HP,208,262,Very High
2023,June,Card,HP,110,443,Very High
2024,December,Router,Fibertech Inc,320,280,Medium
2024,December,Router,Cardcom,484,120,Very Low
2024,May,Router,Optifibre Co,284,371,Very High
2023,February,Card,HP,226,410,Very High
2024,May,Router,Fibertech Inc,439,210,Very Low
2024,October,Optical,Cisco,406,387,Medium
2024,June,Networking,Cisco,480,372,Medium
2023,May,Router,Cardcom,458,461,High
2024,December,Networking,Synergy,149,408,Very High
2023,September,Multiplexer,HP,100,409,Very High
2023,November,Splitter,HP,435,237,Low
2023,March,Switch,Cisco,216,390,Very High
2024,February,Router,Broadcam,260,266,High
2024,May,Optical,HP,376,388,High
2023,December,Multiplexer,Bell,106,272,Very High
2024,May,Networking,HP,195,186,Medium
2024,July,Router,Netgear,221,356,Very High
2023,November,Combiner,Netgear,212,183,Medium
2024,March,Combiner,Bell,164,440,Very High
2023,September,Combiner,Netgear,364,128,Very Low
2024,October,Switch,Netgear,245,308,Very High
2023,March,Modem,Netgear,236,150,Low
2023,August,Optical,Optifibre Co,118,241,Very High
2024,June,Combiner,Broadcam,203,463,Very High
2023,September,Splitter,Synergy,266,284,High
2023,October,Modem,Synergy,163,298,Very High
2024,April,Router,Fibertech Inc,418,171,Very Low
2024,April,Card,Broadcam,173,350,Very High
2023,April,Combiner,Cisco,301,462,Very High
2024,March,Modem,Synergy,374,359,Medium
2023,December,Splitter,Fibertech Inc,424,354,Medium
2023,March,Optical,Optifibre Co,479,344,Low
2024,October,Modem,Bell,407,488,High
2023,March,Multiplexer,Broadcam,371,116,Very Low
2024,September,Combiner,Netgear,260,284,High
2024,November,Multiplexer,Cardcom,424,164,Very Low
2024,February,Splitter,Broadcam,165,126,Medium
2023,May,Router,Cardcom,267,345,Very High
2023,December,Combiner,Cisco,277,468,Very High
2024,May,Splitter,HP,116,435,Very High
2023,February,Multiplexer,Fibertech Inc,479,143,Very Low
2024,December,Combiner,Netgear,283,434,Very High
2024,August,Splitter,Cisco,320,107,Very Low
2023,March,Modem,Broadcam,418,110,Very Low
2024,September,Modem,HP,244,283,High
2024,January,Networking,Bell,366,312,Medium
2023,June,Card,HP,212,494,Very High
2024,June,Router,Cardcom,342,270,Medium
2024,September,Networking,Netgear,136,128,Medium
2024,November,Splitter,Optifibre Co,267,103,Very Low
2023,July,Multiplexer,Broadcam,174,344,Very High
2023,March,Switch,Broadcam,415,405,Medium
2024,December,Router,Optifibre Co,247,464,Very High
2023,September,Optical,Fibertech Inc,255,317,High
2023,January,Modem,Cisco,488,246,Low
2023,March,Modem,Cisco,349,281,Medium
2024,July,Modem,Netgear,458,470,High
2024,November,Combiner,Netgear,342,381,High
2023,September,Card,Synergy,147,319,Very High
2024,October,Combiner,Netgear,408,424,High
2023,October,Optical,Synergy,461,290,Low
2024,April,Modem,Broadcam,327,432,Very High
2023,June,Card,Netgear,431,167,Very Low
2024,September,Networking,Broadcam,409,481,High
2024,January,Modem,Netgear,256,368,Very High
2024,February,Modem,Optifibre Co,205,311,Very High
2023,March,Optical,Synergy,244,199,Medium
2023,January,Card,Netgear,160,175,High
2023,February,Optical,Synergy,300,445,Very High
2023,October,Switch,Synergy,323,129,Very Low
2024,November,Switch,Netgear,413,433,High
2023,April,Card,Cardcom,389,150,Very Low
2023,March,Router,Netgear,235,100,Very Low
2024,January,Networking,HP,281,217,Medium
2024,May,Networking,Netgear,201,183,Medium
2024,November,Networking,HP,440,223,Low
2023,November,Networking,Synergy,349,110,Very Low
2023,September,Optical,Bell,112,459,Very High
2023,March,Card,Optifibre Co,213,256,High
2023,February,Networking,Broadcam,154,374,Very High
2023,July,Switch,Cardcom,228,249,High
2024,May,Networking,Fibertech Inc,289,122,Very Low
2023,June,Switch,HP,325,291,Medium
2024,June,Multiplexer,HP,202,199,Medium
2023,December,Networking,HP,354,132,Very Low
2023,June,Modem,Netgear,130,252,Very High
2024,November,Splitter,Synergy,415,358,Medium
2024,November,Router,Broadcam,496,271,Low
2023,September,Card,HP,327,469,Very High
2023,May,Splitter,Broadcam,279,111,Very Low
2024,November,Splitter,HP,211,157,Low
2023,October,Switch,Fibertech Inc,212,249,High
2023,April,Splitter,Cisco,340,396,High
2024,August,Router,HP,484,499,High
2023,June,Optical,Bell,142,478,Very High
2023,June,Card,Optifibre Co,361,376,High
2023,November,Optical,Netgear,436,107,Very Low
2023,August,Modem,HP,182,420,Very High
2023,May,Card,Optifibre Co,474,327,Low
2024,April,Optical,Optifibre Co,190,325,Very High
2023,April,Switch,Optifibre Co,290,336,High
2023,February,Combiner,Cisco,269,116,Very Low
2023,January,Card,Fibertech Inc,400,323,Medium
2023,November,Router,Fibertech Inc,130,220,Very High
2023,June,Modem,Netgear,218,458,Very High
2024,December,Optical,Bell,307,266,Medium
2024,April,Modem,Synergy,246,240,Medium
2023,November,Networking,Synergy,417,328,Medium
2023,November,Switch,Broadcam,483,483,High
2023,November,Card,HP,406,451,High
2023,March,Combiner,Netgear,261,240,Medium
2024,September,Networking,Synergy,389,186,Very Low
2023,June,Card,Optifibre Co,166,243,Very High
2023,October,Optical,Synergy,323,282,Medium
2023,June,Modem,Bell,492,296,Low
2024,June,Modem,Broadcam,352,139,Very Low
2023,July,Optical,Synergy,342,140,Very Low
2023,July,Modem,Netgear,150,487,Very High
2023,October,Switch,Cardcom,459,228,Very Low
2023,October,Optical,HP,111,222,Very High
2024,February,Multiplexer,Synergy,348,191,Low
2023,March,Multiplexer,Cisco,353,274,Medium
2023,June,Combiner,Synergy,251,150,Low
2023,March,Switch,Optifibre Co,341,421,High
2024,April,Optical,Synergy,407,197,Very Low
2024,May,Multiplexer,Synergy,318,287,Medium
2024,August,Switch,Netgear,251,335,Very High
2024,February,Splitter,Netgear,186,458,Very High
2023,July,Optical,Synergy,217,275,Very High
2023,May,Combiner,Bell,147,206,Very High
2024,May,Optical,Cisco,307,132,Very Low
2024,March,Modem,Netgear,423,458,High
2023,November,Multiplexer,Broadcam,387,230,Low
2024,January,Modem,Broadcam,235,332,Very High
2024,April,Router,Optifibre Co,377,150,Very Low
2024,October,Combiner,HP,476,274,Low
2023,December,Combiner,Broadcam,440,312,Low
2024,September,Modem,HP,292,119,Very Low
2023,January,Optical,Fibertech Inc,393,428,High
2023,August,Networking,Optifibre Co,145,200,Very High
2024,December,Modem,Synergy,308,135,Very Low
2023,October,Card,Fibertech Inc,253,179,Low
2024,September,Card,Netgear,165,496,Very High
2024,December,Splitter,Optifibre Co,477,421,Medium
2024,November,Multiplexer,Cardcom,406,395,Medium
2023,August,Modem,Optifibre Co,319,382,High
2023,September,Splitter,Synergy,454,442,Medium
2024,January,Splitter,Bell,337,143,Very Low
2023,November,Optical,Cardcom,204,101,Very Low
2023,December,Multiplexer,Fibertech Inc,487,198,Very Low
2023,January,Optical,HP,399,288,Low
2024,April,Switch,HP,286,426,Very High
2024,June,Splitter,Optifibre Co,237,389,Very High
2023,May,Multiplexer,HP,332,223,Low
2024,July,Optical,Cardcom,102,224,Very High
2023,November,Combiner,Fibertech Inc,232,389,Very High
2023,June,Router,Fibertech Inc,277,201,Low
2023,January,Card,Cisco,469,380,Medium
2023,January,Switch,Cardcom,276,116,Very Low
2023,October,Card,Bell,212,284,Very High
2024,October,Modem,Broadcam,245,463,Very High
2024,February,Splitter,Cardcom,218,164,Medium
2023,October,Combiner,Synergy,177,156,Medium
2024,January,Splitter,Cisco,183,209,High
2024,August,Modem,Cisco,453,307,Low
2023,February,Networking,Cisco,292,425,Very High
2024,June,Modem,Synergy,242,162,Low
2023,September,Splitter,Optifibre Co,471,474,High
2023,June,Modem,Cardcom,384,191,Very Low
2024,September,Combiner,HP,182,351,Very High
2024,May,Optical,Bell,487,254,Low
2024,January,Optical,Fibertech Inc,140,397,Very High
2023,January,Modem,Cisco,396,448,High
2023,February,Switch,Broadcam,278,444,Very High
2024,August,Combiner,Broadcam,288,467,Very High
2023,February,Switch,Netgear,273,424,Very High
2023,March,Modem,HP,141,444,Very High
2024,February,Multiplexer,Fibertech Inc,369,269,Low
2023,July,Router,Bell,106,170,Very High
2023,March,Combiner,Bell,357,236,Low
2024,June,Router,Cisco,225,284,Very High
2024,February,Multiplexer,Netgear,260,365,Very High
2023,December,Combiner,HP,370,479,Very High
2024,May,Router,Cardcom,398,228,Low
2023,January,Router,HP,181,153,Medium
2024,February,Combiner,Optifibre Co,190,370,Very High
2024,January,Modem,HP,246,500,Very High
2023,September,Router,Cardcom,290,285,Medium
2023,June,Modem,Synergy,424,410,Medium
2024,November,Combiner,Synergy,434,174,Very Low
2024,September,Modem,Synergy,361,267,Low
2023,July,Switch,Synergy,266,457,Very High
2024,July,Networking,Cardcom,444,173,Very Low
2024,July,Optical,Bell,409,352,Medium
2023,July,Multiplexer,HP,122,366,Very High
2023,June,Router,Cardcom,472,221,Very Low
2023,August,Switch,Cisco,191,197,High
2023,August,Modem,Optifibre Co,231,326,Very High
2023,April,Optical,HP,431,256,Low
2023,October,Router,Fibertech Inc,110,323,Very High
2023,July,Switch,Netgear,304,215,Low
2024,September,Splitter,Netgear,239,382,Very High
2024,September,Splitter,Bell,139,411,Very High
2024,February,Networking,Bell,238,108,Very Low
2024,February,Networking,Netgear,433,103,Very Low
2024,January,Modem,HP,300,315,High
